"2014-08-07 19:49:19","Hash  for file ./app/view/reports/index.php was added!"
"2014-08-07 19:49:19","Hash  for file ./app/view/reports/single_0402145.php was added!"
"2014-08-07 19:49:19","Hash  for file ./app/view/reports/general_rollup_printed.php was added!"
"2014-08-07 19:49:19","Hash  for file ./app/view/reports/recresult_ext.php was added!"
"2014-08-07 19:49:19","Hash  for file ./app/view/reports/akt_0402198.php was added!"
"2014-08-07 19:49:19","Hash  for file ./app/view/reports/general_apk_printed.php was added!"
"2014-08-07 19:49:19","Hash  for file ./app/view/reports/recresult.php was added!"
"2014-08-07 19:49:19","Hash  for file ./app/view/reports/customer_rollup_printed.php was added!"
"2014-08-07 19:49:19","Hash  for file ./app/view/reports/akt_0402145.php was added!"
"2014-08-07 19:49:19","Hash  for file ./app/view/reports/confirm.php was added!"
"2014-08-07 19:49:19","Hash  for file ./app/view/reports/printed_0402013.php was added!"
"2014-08-07 19:49:19","Hash  for file ./app/view/show_globals.php was added!"
"2014-08-07 19:49:19","Hash  for file ./app/view/preparation/reconciled_deposit_report.php was added!"
"2014-08-07 19:49:19","Hash  for file ./app/view/preparation/requisits.php was added!"
"2014-08-07 19:49:19","Hash  for file ./app/view/preparation/wrong_receipt.php was added!"
"2014-08-07 19:49:19","Hash  for file ./app/view/preparation/recon_in_progress.php was added!"
"2014-08-07 19:49:19","Hash  for file ./app/view/preparation/value/result_and_estimated.php was added!"
"2014-08-07 19:49:19","Hash  for file ./app/view/preparation/value/calculator.php was added!"
"2014-08-07 19:49:19","Hash  for file ./app/view/preparation/buttons.php was added!"
"2014-08-07 19:49:19","Hash  for file ./app/view/preparation/amount/recon_data.php was added!"
"2014-08-07 19:49:19","Hash  for file ./app/view/preparation/recon_in_another_cashroom.php was added!"
"2014-08-07 19:49:19","Hash  for file ./app/view/info_message.php was added!"
"2014-08-07 19:49:19","Hash  for file ./app/view/php-barcode-2.0.1.php was added!"
"2014-08-07 19:49:19","Hash  for file ./app/view/password_was_not_changed.php was added!"
"2014-08-07 19:49:19","Hash  for file ./app/view/print_array_as_html_table.php was added!"
"2014-08-07 19:49:19","Hash  for file ./app/view/set_rs_to_stat.php was added!"
"2014-08-07 19:49:18","Hash  for file ./app/view/page_header_with_logout.php was added!"
"2014-08-07 19:49:18","Hash  for file ./app/view/index.php was added!"
"2014-08-07 19:49:18","Hash  for file ./app/view/forms/act_by_reconciliation.php was added!"
"2014-08-07 19:49:18","Hash  for file ./app/view/forms/index.php was added!"
"2014-08-07 19:49:18","Hash  for file ./app/view/forms/new_reconciliation.php was added!"
"2014-08-07 19:49:18","Hash  for file ./app/view/forms/reconciliation_view.php was added!"
"2014-08-07 19:49:18","Hash  for file ./app/view/forms/prepared_reconciliation.php was added!"
"2014-08-07 19:49:18","Hash  for file ./app/view/forms/deferred_reconciliation.php was added!"
"2014-08-07 19:49:18","Hash  for file ./app/view/forms/finished_reconciliation.php was added!"
"2014-08-07 19:49:18","Hash  for file ./app/view/forms/details_css.php was added!"
"2014-08-07 19:49:18","Hash  for file ./app/view/repost_post.php was added!"
"2014-08-07 19:49:18","Hash  for file ./app/view/draw_select_table.php was added!"
"2014-08-07 19:49:18","Hash  for file ./app/view/login.php was added!"
"2014-08-07 19:49:18","Hash  for file ./app/view/error_message.php was added!"
"2014-08-07 19:49:18","Hash  for file ./app/view/success_message.php was added!"
"2014-08-07 19:49:18","Hash  for file ./app/view/set_remove_wait.php was added!"
"2014-08-07 19:49:18","Hash  for file ./app/view/under_development.php was added!"
"2014-08-07 19:49:18","Hash  for file ./app/view/reconciliation/prep_against_amount.php was added!"
"2014-08-07 19:49:18","Hash  for file ./app/view/reconciliation/against_amount_new.php was added!"
"2014-08-07 19:49:18","Hash  for file ./app/view/reconciliation/keyboard_driver.php was added!"
"2014-08-07 19:49:18","Hash  for file ./app/view/reconciliation/against_value_new.php was added!"
"2014-08-07 19:49:18","Hash  for file ./app/view/reconciliation/against_amount.php was added!"
"2014-08-07 19:49:18","Hash  for file ./app/view/reconciliation/index.php was added!"
"2014-08-07 19:49:18","Hash  for file ./app/view/reconciliation/suspect_enter.php was added!"
"2014-08-07 19:49:18","Hash  for file ./app/view/reconciliation/value/result_and_estimated.php was added!"
"2014-08-07 19:49:18","Hash  for file ./app/view/reconciliation/value/index.php was added!"
"2014-08-07 19:49:18","Hash  for file ./app/view/reconciliation/value/recon_data_total.php was added!"
"2014-08-07 19:49:18","Hash  for file ./app/view/reconciliation/value/sorter_data_form.php was added!"
"2014-08-07 19:49:18","Hash  for file ./app/view/reconciliation/value/discrepancies.php was added!"
"2014-08-07 19:49:18","Hash  for file ./app/view/reconciliation/value/recon_data_input_form.php was added!"
"2014-08-07 19:49:18","Hash  for file ./app/view/reconciliation/buttons.php was added!"
"2014-08-07 19:49:18","Hash  for file ./app/view/reconciliation/messages/wrong_sorter_grades.php was added!"
"2014-08-07 19:49:18","Hash  for file ./app/view/reconciliation/messages/index.php was added!"
"2014-08-07 19:49:18","Hash  for file ./app/view/reconciliation/messages/non_single_denom.php was added!"
"2014-08-07 19:49:18","Hash  for file ./app/view/reconciliation/messages/wrong_recon_grades.php was added!"
"2014-08-07 19:49:18","Hash  for file ./app/view/reconciliation/total.php was added!"
"2014-08-07 19:49:18","Hash  for file ./app/view/reconciliation/prep_against_value.php was added!"
"2014-08-07 19:49:17","Hash  for file ./app/view/reconciliation/amount/index.php was added!"
"2014-08-07 19:49:17","Hash  for file ./app/view/reconciliation/amount/recon_data_total.php was added!"
"2014-08-07 19:49:17","Hash  for file ./app/view/reconciliation/amount/sorter_data_form.php was added!"
"2014-08-07 19:49:17","Hash  for file ./app/view/reconciliation/amount/discrepancies.php was added!"
"2014-08-07 19:49:17","Hash  for file ./app/view/reconciliation/amount/recon_data_input_form.php was added!"
"2014-08-07 19:49:17","Hash  for file ./app/view/reconciliation/against_value.php was added!"
"2014-08-07 19:49:17","Hash  for file ./app/view/get_to_string.php was added!"
"2014-08-07 19:49:17","Hash  for file ./app/view/draw_editable_table.php was added!"
"2014-08-07 19:49:17","Hash  for file ./app/view/base_64_javascript.php was added!"
"2014-08-07 19:49:17","Hash  for file ./app/view/remove_special_symbols.php was added!"
"2014-08-07 19:49:17","Hash  for file ./app/view/draw_record_edit.php was added!"
"2014-08-07 19:49:17","Hash  for file ./app/view/record/required_field_message.php was added!"
"2014-08-07 19:49:17","Hash  for file ./app/view/record/update.php was added!"
"2014-08-07 19:49:17","Hash  for file ./app/view/record/index.php was added!"
"2014-08-07 19:49:17","Hash  for file ./app/view/record/readme.php was added!"
"2014-08-07 19:49:17","Hash  for file ./app/view/record/active_fields/checker.php was added!"
"2014-08-07 19:49:17","Hash  for file ./app/view/record/active_fields/select.php was added!"
